###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : backward euler
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+01	0.000000e+00	2.000000e+00
5.000000e-02	9.846746e-01	-1.236439e-01	9.950117e-02	1.918485e+01	-4.898644e+00	1.980100e+00
1.000000e-01	1.898932e+00	-4.834270e-01	1.980123e-01	1.720308e+01	-9.397973e+00	1.960398e+00
1.500000e-01	2.687803e+00	-1.052477e+00	2.955432e-01	1.420005e+01	-1.322852e+01	1.940891e+00
2.000000e-01	3.305144e+00	-1.791554e+00	3.921037e-01	1.038120e+01	-1.616741e+01	1.921579e+00
2.500000e-01	3.716299e+00	-2.651714e+00	4.877034e-01	5.998169e+00	-1.805115e+01	1.902459e+00
3.000000e-01	3.900015e+00	-3.577522e+00	5.823518e-01	1.332389e+00	-1.878457e+01	1.883530e+00
3.500000e-01	3.849484e+00	-4.510593e+00	6.760585e-01	-3.322863e+00	-1.834530e+01	1.864788e+00
4.000000e-01	3.572472e+00	-5.393258e+00	7.688328e-01	-7.680785e+00	-1.678371e+01	1.846233e+00
4.500000e-01	3.090559e+00	-6.172099e+00	8.606840e-01	-1.147861e+01	-1.421837e+01	1.827863e+00
5.000000e-01	2.437523e+00	-6.801159e+00	9.516213e-01	-1.449330e+01	-1.082738e+01	1.809676e+00
5.500000e-01	1.657027e+00	-7.244631e+00	1.041654e+00	-1.655456e+01	-6.836209e+00	1.791669e+00
6.000000e-01	7.997214e-01	-7.478860e+00	1.130790e+00	-1.755424e+01	-2.502835e+00	1.773842e+00
6.500000e-01	-8.001245e-02	-7.493560e+00	1.219040e+00	-1.745180e+01	1.898774e+00	1.756192e+00
7.000000e-01	-9.274909e-01	-7.292186e+00	1.306412e+00	-1.627543e+01	6.095891e+00	1.738718e+00
7.500000e-01	-1.691105e+00	-6.891444e+00	1.392914e+00	-1.411900e+01	9.833814e+00	1.721417e+00
8.000000e-01	-2.325441e+00	-6.320002e+00	1.478555e+00	-1.113492e+01	1.289121e+01	1.704289e+00
8.500000e-01	-2.793959e+00	-5.616482e+00	1.563345e+00	-7.523618e+00	1.509309e+01	1.687331e+00
