###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : explicit rk4
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+01	0.000000e+00	2.000000e+00
5.000000e-03	9.993961e-02	-1.249102e-03	9.995002e-03	1.997377e+01	-4.994482e-01	1.998001e+00
1.000000e-02	1.997169e-01	-4.992298e-03	1.998001e-02	1.993510e+01	-9.975862e-01	1.996004e+00
1.500000e-02	2.992699e-01	-1.122227e-02	2.995504e-02	1.988403e+01	-1.494105e+00	1.994009e+00
2.000000e-02	3.985367e-01	-1.993014e-02	3.992011e-02	1.982064e+01	-1.988698e+00	1.992016e+00
2.500000e-02	4.974559e-01	-3.110552e-02	4.987521e-02	1.974498e+01	-2.481058e+00	1.990025e+00
3.000000e-02	5.959662e-01	-4.473650e-02	5.982036e-02	1.965712e+01	-2.970884e+00	1.988036e+00
3.500000e-02	6.940069e-01	-6.080963e-02	6.975557e-02	1.955715e+01	-3.457873e+00	1.986049e+00
4.000000e-02	7.915177e-01	-7.931000e-02	7.968085e-02	1.944515e+01	-3.941726e+00	1.984064e+00
4.500000e-02	8.884385e-01	-1.002212e-01	8.959621e-02	1.932121e+01	-4.422148e+00	1.982081e+00
5.000000e-02	9.847100e-01	-1.235253e-01	9.950166e-02	1.918543e+01	-4.898845e+00	1.980100e+00
5.500000e-02	1.080273e+00	-1.492029e-01	1.093972e-01	1.903793e+01	-5.371526e+00	1.978121e+00
6.000000e-02	1.175070e+00	-1.772334e-01	1.192829e-01	1.887882e+01	-5.839903e+00	1.976143e+00
6.500000e-02	1.269042e+00	-2.075943e-01	1.291586e-01	1.870822e+01	-6.303693e+00	1.974168e+00
7.000000e-02	1.362133e+00	-2.402622e-01	1.390246e-01	1.852626e+01	-6.762614e+00	1.972195e+00
7.500000e-02	1.454286e+00	-2.752119e-01	1.488806e-01	1.833308e+01	-7.216389e+00	1.970224e+00
8.000000e-02	1.545446e+00	-3.124170e-01	1.587268e-01	1.812883e+01	-7.664745e+00	1.968255e+00
8.500000e-02	1.635556e+00	-3.518498e-01	1.685632e-01	1.791364e+01	-8.107411e+00	1.966287e+00
9.000000e-02	1.724564e+00	-3.934812e-01	1.783897e-01	1.768768e+01	-8.544124e+00	1.964322e+00
9.500000e-02	1.812415e+00	-4.372807e-01	1.882064e-01	1.745111e+01	-8.974621e+00	1.962359e+00
1.000000e-01	1.899058e+00	-4.832166e-01	1.980133e-01	1.720411e+01	-9.398646e+00	1.960397e+00
1.050000e-01	1.984439e+00	-5.312560e-01	2.078104e-01	1.694683e+01	-9.815946e+00	1.958438e+00
1.100000e-01	2.068509e+00	-5.813645e-01	2.175976e-01	1.667948e+01	-1.022627e+01	1.956480e+00
1.150000e-01	2.151218e+00	-6.335067e-01	2.273752e-01	1.640222e+01	-1.062939e+01	1.954525e+00
1.200000e-01	2.232515e+00	-6.876459e-01	2.371429e-01	1.611527e+01	-1.102505e+01	1.952571e+00
1.250000e-01	2.312354e+00	-7.437443e-01	2.469009e-01	1.581881e+01	-1.141302e+01	1.950620e+00
