###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : explicit rk2
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+01	0.000000e+00	2.000000e+00
5.000000e-02	9.847100e-01	-1.235253e-01	9.950166e-02	1.918543e+01	-4.898845e+00	1.980100e+00
1.000000e-01	1.899058e+00	-4.832166e-01	1.980133e-01	1.720411e+01	-9.398646e+00	1.960397e+00
1.500000e-01	2.688062e+00	-1.052221e+00	2.955447e-01	1.420128e+01	-1.322987e+01	1.940891e+00
2.000000e-01	3.305558e+00	-1.791311e+00	3.921056e-01	1.038233e+01	-1.616953e+01	1.921579e+00
2.500000e-01	3.716870e+00	-2.651550e+00	4.877058e-01	5.998878e+00	-1.805404e+01	1.902459e+00
3.000000e-01	3.900722e+00	-3.577500e+00	5.823547e-01	1.332356e+00	-1.878811e+01	1.883529e+00
3.500000e-01	3.850280e+00	-4.510771e+00	6.760618e-01	-3.323910e+00	-1.834925e+01	1.864788e+00
4.000000e-01	3.573296e+00	-5.393676e+00	7.688365e-01	-7.683039e+00	-1.678775e+01	1.846233e+00
4.500000e-01	3.091332e+00	-6.172777e+00	8.606881e-01	-1.148215e+01	-1.422211e+01	1.827862e+00
5.000000e-01	2.438164e+00	-6.802092e+00	9.516258e-01	-1.449809e+01	-1.083040e+01	1.809675e+00
5.500000e-01	1.657451e+00	-7.245788e+00	1.041659e+00	-1.656043e+01	-6.838099e+00	1.791668e+00
6.000000e-01	7.998562e-01	-7.480184e+00	1.130796e+00	-1.756089e+01	-2.503244e+00	1.773841e+00
6.500000e-01	-8.022374e-02	-7.494972e+00	1.219046e+00	-1.745881e+01	1.900113e+00	1.756191e+00
7.000000e-01	-9.280816e-01	-7.293589e+00	1.306418e+00	-1.628233e+01	6.099126e+00	1.738716e+00
7.500000e-01	-1.692080e+00	-6.892731e+00	1.392920e+00	-1.412524e+01	9.838948e+00	1.721416e+00
8.000000e-01	-2.326776e+00	-6.321064e+00	1.478562e+00	-1.113997e+01	1.289809e+01	1.704288e+00
8.500000e-01	-2.795595e+00	-5.617217e+00	1.563352e+00	-7.526966e+00	1.510142e+01	1.687330e+00
9.000000e-01	-3.072919e+00	-4.827203e+00	1.647298e+00	-3.521429e+00	1.633004e+01	1.670540e+00
9.500000e-01	-3.145440e+00	-4.001436e+00	1.730409e+00	6.219089e-01	1.652749e+01	1.653918e+00
1.000000e+00	-3.012742e+00	-3.191538e+00	1.812692e+00	4.644859e+00	1.570202e+01	1.637462e+00
1.050000e+00	-2.687070e+00	-2.447129e+00	1.894158e+00	8.301768e+00	1.392478e+01	1.621168e+00
1.100000e+00	-2.192325e+00	-1.812810e+00	1.974812e+00	1.137442e+01	1.132419e+01	1.605038e+00
1.150000e+00	-1.562359e+00	-1.325509e+00	2.054664e+00	1.368493e+01	8.076896e+00	1.589067e+00
1.200000e+00	-8.386896e-01	-1.012361e+00	2.133721e+00	1.510593e+01	4.395920e+00	1.573256e+00
1.250000e+00	-6.779105e-02	-8.892237e-01	2.211992e+00	1.556744e+01	5.168000e-01	1.557602e+00
1.300000e+00	7.018715e-01	-9.599274e-01	2.289484e+00	1.505999e+01	-3.317372e+00	1.542103e+00
1.350000e+00	1.422869e+00	-1.216274e+00	2.366205e+00	1.363405e+01	-6.871088e+00	1.526759e+00
1.400000e+00	2.051710e+00	-1.638783e+00	2.442163e+00	1.139574e+01	-9.930796e+00	1.511567e+00
1.450000e+00	2.551450e+00	-2.198114e+00	2.517364e+00	8.499139e+00	-1.231763e+01	1.496527e+00
1.500000e+00	2.893833e+00	-2.857072e+00	2.591818e+00	5.135875e+00	-1.389775e+01	1.481636e+00
1.550000e+00	3.060864e+00	-3.573055e+00	2.665530e+00	1.522553e+00	-1.458971e+01	1.466894e+00
1.600000e+00	3.045718e+00	-4.300790e+00	2.738510e+00	-2.113094e+00	-1.436843e+01	1.452298e+00
1.650000e+00	2.852935e+00	-4.995176e+00	2.810763e+00	-5.546467e+00	-1.326564e+01	1.437847e+00
1.700000e+00	2.497920e+00	-5.614060e+00	2.882297e+00	-8.569884e+00	-1.136679e+01	1.423541e+00
1.750000e+00	2.005773e+00	-6.120780e+00	2.953119e+00	-1.100505e+01	-8.804711e+00	1.409376e+00
1.800000e+00	1.409554e+00	-6.486314e+00	3.023237e+00	-1.271348e+01	-5.750506e+00	1.395353e+00
